text,category
{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,Positive emotion
{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},Neutral emotion
@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},Neutral emotion
&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,Neutral emotion
"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",Neutral emotion
#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,Positive emotion
"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",Neutral emotion
Again? RT @mention Line at the Apple store is insane.. #sxsw,Negative emotion
Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,Neutral emotion
At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,Neutral emotion
attending @mention iPad design headaches #sxsw {link},Negative emotion
"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",Negative emotion
Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},Positive emotion
Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,Neutral emotion
Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,Neutral emotion
"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Positive emotion
Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},Neutral emotion
"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",Neutral emotion
Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Positive emotion
I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,Positive emotion
I worship @mention {link} #SXSW,Neutral emotion
"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",Neutral emotion
"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",Neutral emotion
New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,Positive emotion
Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,Positive emotion
Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,Neutral emotion
"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Positive emotion
"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Positive emotion
Stay tune @mention showcase #H4ckers {link} #SXSW,Neutral emotion
Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},Neutral emotion
Thank you @mention for an awesome #sxsw party! {link},Neutral emotion
"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",Neutral emotion
Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,Positive emotion
Thanks to @mention for publishing the news of @mention new medical Apps at the #sxswi conf. blog {link} #sxsw #sxswh,Neutral emotion
Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,Neutral emotion
What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,Negative emotion
Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,Neutral emotion
Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,Neutral emotion
"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",Positive emotion
Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},Positive emotion
"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",Neutral emotion
"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Positive emotion
GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,Neutral emotion
"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",Neutral emotion
Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,Positive emotion
ÛÏ@mention &quot;Apple has opened a pop-up store in Austin so the nerds in town for #SXSW can get their new iPads. {link} #wow,Neutral emotion
Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,Negative emotion
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Positive emotion
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",Neutral emotion
"ÛÏ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.Û",Positive emotion
"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",Neutral emotion
#HP opens &quot;Mobile Park&quot;  &amp; Content Incubator at #SXSW  {link}   #Apple  constructs  &quot;pop-up&quot; store  {link},Neutral emotion
"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Positive emotion
Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment,Neutral emotion
Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Positive emotion
Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},Positive emotion
"Unboxing. #Apple #sxsw  @mention Apple Store, SXSW {link}",Neutral emotion
"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",Positive emotion
"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",Neutral emotion
"At #SXSW, #Apple schools the marketing experts - {link}",Positive emotion
"At #SXSW, #Apple schools the marketing experts {link}",Neutral emotion
"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Positive emotion
"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Positive emotion
ÛÏ@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Positive emotion
#iPad and #Austin are trending today. Have fun at #sxsw all you nerdy nerds!!!,Positive emotion
"Headed to #Austin for #SXSW? Check out my map for newbies {link} @mention @mention , @mention @mention Enjoy!",Neutral emotion
Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).,Neutral emotion
Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,Positive emotion
#sxsw #ux #ipad #uxdes remember to ultimately be aware of the audience your app is targeted towards. An unexpected experience can be good.,Neutral emotion
The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,Positive emotion
I can haz #iPad2 ifrom #SxSW Gr8 {link},Positive emotion
"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",Positive emotion
"#Google's #Mobile Future, and the Elusive 'Power of Here' - {link} (via @mention #eurorscg #sxsw #sxswi",Neutral emotion
"For those #notatSXSW (or at #SXSW), here's {link} Free to download and meet nearby peps",Neutral emotion
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,Positive emotion
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link} #seo #sxsw,Neutral emotion
"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW",Neutral emotion
"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW /via @mention ^rg",Neutral emotion
"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",Positive emotion
"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}",Positive emotion
Q1 Was at #sxsw #sxswi for prep. Amazing pre push locally. Focus on location based. Google owns 10% of the regions billboards. #pr20chat,Neutral emotion
Any other #Sxsw accounts I need to follow or apps to download for iPhone?,Neutral emotion
Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a business card broadcaster.,Neutral emotion
Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link},Neutral emotion
BTW - The #sxsw Apple store is sold out of all 3G models (VZW &amp; AT&amp;T).,Neutral emotion
Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},Positive emotion
Temporary #sxsw apple store. Apple being sneaky as usual  {link},Positive emotion
Anyone at #sxsw been by the pop-up Apple store in Austin? That's gotta be a hopping place today.,Neutral emotion
ÛÏ@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.Û,Positive emotion
Apple won #SxSW from day one. Seeing a TON of #iPad2,Positive emotion
#fastball #sxsw Giving away two NEW Ipad2 wifi 32g black Apple cover tweet @mention fo more info #sxswi #attsxsw  Tonight @mention bo.lt house,Neutral emotion
Anyone at #sxsw had a chance to check out the pop-up Apple store? Wondering if it is worth the trek from the convention center...,Neutral emotion
ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ @mention Did you manage to get yours?,Positive emotion
ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ also known as the white jeans configuration.,Positive emotion
Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw,Positive emotion
@mention  #SXSW is an Austin conference. Do a google search - they have interactive / music / film.,Neutral emotion
Anyone at #sxsw know if apple will be (or is) selling ipad 2 there?,Neutral emotion
Anyone at #SXSW know if the apple store has had a new shipment of iPads yet?,Neutral emotion
Marc Ecko #SXSW launches #iPhone app. to autodial political change! {link} #edreform #edtech #eduVC #FightThePaddle,Neutral emotion
#POURsite #SXSW learning about the life-changing impact of the iPad on real people's actual lives - bravo!,Positive emotion
@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel,Positive emotion
"More free #SXSW mp3 downloads, this time from iTunes: {link}",Neutral emotion
Anyone at #sxsw or heading to aclu event seen owt to do with google circles then?,Neutral emotion
@mention  #SXSW prompt for memory: go to Google map and describe a childhood walk,Neutral emotion
The Apple #SXSW store still has iPad 2's and short lines.,Positive emotion
Essential #sxsw tools: {link},Neutral emotion
"Just left #sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it.",Positive emotion
"Following #sxsw Tweets on Google Realtime, four platforms on Tweet Deck and listening to panel, realizing I'm spoken to no one here today.",Neutral emotion
Anyone at #sxsw want an iPad 2? I'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you?,Neutral emotion
Anyone at #sxsw want to make a quick hundred dollars? New #ipad2 from ad hoc apple store here gets hundred plus cost!,Positive emotion
Solving a #SXSW-induced iPhone-in-toilet crisis at Apple Store with @mention (not my crisis for once),Neutral emotion
"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.",Positive emotion
Attending #sxsw? Austin Guide by @mention is now free to download on iTunes - {link} #lp,Neutral emotion
"Seriously #sxsw? Did you do any testing on the mobile apps? Constant iPad crashes causing lost schedules, and no sync for WP7.",Negative emotion
Ready for #SXSW?! Here are some iPhone apps 2 make ur blogging easier | {link} #SXSW #SXSWi,Positive emotion
ipad2 and #sxsw...a conflagration of doofusness.  {link},Negative emotion
attention #sxsw'ers - {link} - rumored pop-up temporary Apple store for all your #sxsw iPad 2 launch needs.,Positive emotion
I went to #sxswi and all I won was this lousy #iPad #sxsw :-) :-) {link},Positive emotion
Hey #sxsw #sxswi folks. If you want to learn about security come over to #bsidesaustin {link},Neutral emotion
Attending #SXSWi? Work in iPhone / iPad game development? Looking to hire an Austin-based iOS developer? I'm your man. Let's talk. #SXSW,Neutral emotion
This is a #WINNING picture #android #google #sxsw {link},Positive emotion
GSD&amp;M + Google 7-10. RT @mention What's the best party to hit tonight? #sxsw @mention @mention,Neutral emotion
GSD&amp;M + Google Industry Party #SXSW @mention great to meet you  {link},Neutral emotion
"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? #ipad2 #SXSW {link}",Negative emotion
#sxsw day 1 - Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link},Neutral emotion
Behind on 100s of emails? Give them all 1 line iPhone composed replies. #SXSW #protip,Positive emotion
It's like 10pm at night and there is a line around the block at the popup apple stores selling iPad2s. #sxsw,Positive emotion
.@mention 1154 free songs from #SXSW (this year alone!) {link},Neutral emotion
more than 150 million mobile users for Google Maps for Mobile #SXSW,Neutral emotion
Currently 150 people in line at the &quot;Pop Up Apple Store&quot; #sxsw,Neutral emotion
"Only iPad 2 available at #sxsw is the 64GB wifi-only model at $699, plus the optional (not!) leather smart cover at $69",Neutral emotion
÷¼ We love 2 entertain youÛ_Please donÛªt be grateful! ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,Neutral emotion
Less than 2 hours until we announce the details on the iPad 2 giveaway! #SXSW #SXSWi,Neutral emotion
"I'm up to 2 iPad 2s seen in the wild. Both people say it is fast, but the still pics are terrible. #sxsw",Negative emotion
(The iPad 2 queue at #sxsw of course,Neutral emotion
The #iPad 2 Takes Over #SXSW [VIDEO] /by @mention {link},Positive emotion
many iPad 2's snapping away at the keynote slides! #sxsw,Positive emotion
Apple has 200M users' credit cards sync'd with iTunes for one click purchase. . #winning #sxsw,Neutral emotion
Having my 2nd cocktail &quot;Texas Snowflake&quot;  ( @mention google it!!) at the #CNNGrill #SxSw,Neutral emotion
New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive {link} #SXSW #SXSWi,Positive emotion
New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive #SXSW #SXSWi {link},Neutral emotion
sweet new 3-d google maps demo going on in ballroom D #SXSW,Positive emotion
More than 35 million miles per day are driving with Google Maps Navigation! #SXSW,Positive emotion
rt ' It's 4 p.m. and the #iPad2 line at the Apple store is longer and wider ÛÒ about 250 people! Only one more hour. ' #sxsw,Neutral emotion
"U = smart 4 packing an extra :) RT @mention On my way to sunny Austin for #sxsw! Extra iPhone in stow, just in case. @mention @mention",Neutral emotion
"Wonder if 4sqwill attempt to block GoWalla cross-checkins, the way Facebook blocked Google's contacts connections.  #sxsw #lbsWars",Neutral emotion
#SXSW day 5 at the #apple store and there's still a line...and growing {link},Positive emotion
"Check out 5 Steps to Bulletproof UX Strategy at SXSW
{link} #SXSW #rhjr_ux5  {link}",Neutral emotion
"Wandering 6th street with the girls. Stopped for ceviche, mojitos, apple juice &amp; ice cream. #sxsw",Neutral emotion
"If you're a band at #SXSW and want to share a track with your Audience from stage, use FrostWire for Android if there's Wi-Fi available",Positive emotion
We've got a busy week ahead: Our new book on #Google Apps will be available on Amazon &amp; we're attending #SXSW,Neutral emotion
"I believe a few went to Aussies at #sxsw RT @mention iPad 2 Sold Out, 70% Went to New Buyers [REPORT] - {link}",Neutral emotion
ÛÏ@mention A Google Spreadsheet of over 270 parties at #SXSW this year O_O {link} @mention Plan on going to #SXSW Party on,Neutral emotion
"There was a guy in line for Apple's pop-up store on Sixth Street in Austin. &quot;I'm that guy,&quot; he told me. #sxsw",Neutral emotion
if u have a iPhone you don't need a car'-use zimride etc to share rides #sxsw #shareable,Positive emotion
"I've seen a lot of tablets here, every single one of them is an iPad. #SXSW",Neutral emotion
Receiving a lot of @mention messages telling me I'm sexy in response to my post looking to meet fellow Christian iPhone devs at #sxsw,Neutral emotion
Picked up a Mophie battery case 4 my iPhone in prep for #SXSW. Not lugging around a laptop &amp; only using my phone was a huge win last year.,Positive emotion
"Now thats a NEWS :P RT@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",Neutral emotion
"Just took a piss at the trade show, iPad in one hand, iPhone in the other. Pissing. I am KIIIIIILLING it right now. #sxsw",Neutral emotion
"Not to be a rumor monger, but this was a good read å_ #Google #Circles preview @mention #sxsw {link} by @mention via @mention #socbiz #fb",Positive emotion
HOBO WITH A SHOTGUN iPhone game {link} #sxsw,Neutral emotion
Hobo with A Shotgun video game coming to iPad/iPhone users?! Yes please! {link} #SXSW,Positive emotion
build out a store in less than 24 hours and have one of the biggest launches in this company's history?  we got this.  #apple #sxsw #ipad2,Positive emotion
Just took a survey on iPhone while in Starbucks line. Got a free Starbucks gift card. Instant research. Instant gratification. #sxsw #gsdm,Neutral emotion
Apple has a temporary Retail Store in Austin for the iPad 2 release today. Opens at 5pm. #SXSW #SXSWi #ipad2,Neutral emotion
Just read about #GroupMe at #SXSW...sounds like an incredible app. Is it available for Android phones yet?,Positive emotion
Wondering about Circles? &gt; Google to reveal a new social network at #SXSW {link},Neutral emotion
"google is about search, but local' marissa mayer #sxsw",Neutral emotion
Wondering about street closures during SXSW? We made a Google Map to show you: {link} #sxsw #austin,Neutral emotion
Is Google about to have another go at social with &quot;Google Circles&quot;? #sxsw #google,Neutral emotion
Questions about what's inside the iPad 2? Fire them my way. #sxsw,Neutral emotion
Paraormal activity: Sanctuary iphone game. Sketching your AR experience. Interactivity through &quot;magic lense&quot; #EduAR #sxsw,Neutral emotion
Apple IIe ad in the '85 SI swimsuit issue at a garage sale #sxsw {link},Neutral emotion
Flipboard Adds Instagram Photos and Social Search [Apps] {link} #Apple #SocialSearch #SXSW,Neutral emotion
Spent the aftrnoon on a frozen lake photographing my brother Scott &amp; the @mention team. Catch them at #SXSW ths weeknd.  {link},Neutral emotion
"If iPhone alarms botch the timechange, how many #SXSW'ers freak? Late to flights, missed panels, behind on bloody marys...",Negative emotion
Shouts to all the ladies holding up their iPad 2's at free #sxsw shows to take photos while sipping free beer. /cc: @mention,Positive emotion
"Dj hoodie allen, with all due respect, you should probably make your way back to google #sxsw",Neutral emotion
I meant I also wish I  at #SXSW #dyac stupid iPhone!,Negative emotion
"Just what America needs. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",Neutral emotion
Audioboo: American Dream or Bust {link} #iPad #sxsw #bum #begger #us #socialart #Documentally,Neutral emotion
Skifta is an app-based media shifting service that turns your Android phone into a ...  #sxsw #mashable #sxswi {link},Neutral emotion
Rumors of an Apple store opening for #SXSW at 6th &amp; Congress. All signs point to yes! {link},Positive emotion
What does an Apple security guy after he locks up the store..... #sxsw - {link},Neutral emotion
What does an Apple security guy after he locks up the store..... #sxsw - The Realtime SXSW S... {link} curated by @mention,Neutral emotion
How I got an iPad 2 during #SXSW!  {link} cc @mention,Neutral emotion
picked up an ipad 2 at the #sxsw pop up  apple store! only 15 minute wait!,Positive emotion
Brilliant and enlightening game mechanics presentation by @mention from Google #SXSW,Positive emotion
GSD&amp;M and Google.....sitting in a tree {link} #sxsw #gsdm,Neutral emotion
@mention  and here's a pic of you winning your ipad! #unsix #sxsw cc @mention @mention  {link} (cont) {link},Neutral emotion
My iPhone and I are both VERY thirsty! #sxsw (@mention Chevy Volt Lounge w/ 16 others) {link},Neutral emotion
My iPhone and I are both VERY thirsty! #sxsw (@mention Chevy Volt Lounge w/ 16 others) {link} {link},Neutral emotion
"I came in and left #sxsw with my iPhone playing the same song, chosen at random: Skream's Listening to the Records on my wall. Appropriate.",Neutral emotion
marketing and sales GENIUS: {link} #Apple #SXSW,Positive emotion
"Arduino + android = Flaming skulls  {link} Refrigerator Speaks , Salon K, 3:30pm @mention @mention #sxsw #smartthings",Neutral emotion
Reminder: Android and Chrome TTS talk @mention 1 PM today!  {link}  #sxsw,Neutral emotion
iPad 2 vs Android vs The World : Panel at #SXSW today 3:30PM by @mention {link},Neutral emotion
"Backupify Announces CloudSight Search, the First Searchable Archive Solution for Social Media and Google Apps #SXSW #SXSWi {link}",Neutral emotion
Google is announcing a social network &quot;Circles&quot; (via #SXSW tweets). Interesting. Myopia will cause Buzz jokes. But this is interesting.,Neutral emotion
"Do I need any more for #sxsw! ipad, iphone, laptop, dictaphone, vid.camera.... Wow! Love to  meet the REAL 'cerebellum' charged people:)",Positive emotion
Did u see anything on Google's Circles at the #sxsw? @mention @mention,Neutral emotion
The #SXSW app for my iPhone is ridiculous. It's my personal planner for the next 5 days.,Positive emotion
Our #sxsw app is now on #android :D huge props to @mention @mention @mention &amp; @mention Get it now: {link},Neutral emotion
"Found the app kyping my iPhone's geolocation &amp; not releasing when in background. Need a patch, @mention #batterykiller #SXSW",Negative emotion
the #SXSW app on the iPhone is live. RSVP for events from your phone &amp; check out sundayswagger.eventbrite.com 3/20 #scoremore,Positive emotion
